,index,ts_code_x,trade_date,open,high,low,close_x,pre_close,change,pct_chg,vol,amount,turnover_rate,turnover_rate_f,volume_ratio,pe,pe_ttm,pb,ps,ps_ttm,dv_ratio,dv_ttm,total_share,float_share,free_share,total_mv,circ_mv
2237,2237,600323.SH,20130507,6.4863,6.5851,6.4594,6.5582,6.5043,0.0539000000000005,0.8287,56934.08,41489.405,1.1669,1.626,1.43,22.225,22.225,1.8297,4.7765,4.7098,0.6154,,57924.2881,48792.3155,35014.4066,422847.3031,356183.9032
2238,2238,600323.SH,20130506,6.4773,6.5133,6.4414,6.5043,6.4683,0.03599999999999959,0.5566,43206.48,31164.963,0.8855,1.234,1.08,22.0424,22.0424,1.8147,4.7372,4.6711,0.6205,,57924.2881,48792.3155,35014.4066,419371.8458,353256.3642
2239,2239,600323.SH,20130503,6.2707,6.5133,6.2617,6.4683,6.2438,0.22449999999999992,3.5956,58659.95,41972.081,1.2022,1.6753,1.45,21.9206,21.9206,1.8047,4.7111,4.6452,0.624,,57924.2881,48792.3155,35014.4066,417054.8743,351304.6716
2240,2240,600323.SH,20130502,6.2168,6.3066,6.1988,6.2438,6.2887,-0.04490000000000016,-0.714,20842.6,14494.735,0.4272,0.5953,0.45,21.1595,21.1595,1.742,4.5475,4.484,0.6464,,57924.2881,48792.3155,35014.4066,402573.8023,339106.5927
2241,2241,600323.SH,20130426,6.2348,6.3066,6.1988,6.2887,6.2527,0.036000000000000476,0.5758,34109.06,23752.473,0.6991,0.9741,0.67,21.3117,21.3117,1.7889,4.5802,4.5802,0.6418,,57924.2881,48792.3155,35014.4066,405470.0167,341546.2085
2242,2242,600323.SH,20130425,6.2977,6.3426,6.2168,6.2527,6.3785,-0.1257999999999999,-1.9723,42925.47,29963.667,0.8798,1.2259,0.76,21.1899,21.1899,1.7786,4.554,4.554,0.6455,,57924.2881,48792.3155,35014.4066,403153.0452,339594.5159
2243,2243,600323.SH,20130424,6.2797,6.4234,6.2617,6.3785,6.2527,0.1257999999999999,2.0119,43980.16,31141.512,0.9014,1.2561,0.77,21.6161,21.6161,1.8144,4.6456,4.6456,0.6327,,57924.2881,48792.3155,35014.4066,411262.4455,346425.4401
2244,2244,600323.SH,20130423,6.4863,6.5043,6.2348,6.2527,6.5043,-0.2515999999999998,-3.8682,61111.99,43014.897,1.2525,1.7453,1.16,21.1899,21.1899,1.7786,4.554,4.554,0.6455,,57924.2881,48792.3155,35014.4066,403153.0452,339594.5159
2245,2245,600323.SH,20130422,6.4504,6.5402,6.3965,6.5043,6.5133,-0.009000000000000341,-0.1382,48129.78,34585.268,0.9864,1.3746,0.84,22.0424,22.0424,1.8502,4.7372,4.7372,0.6205,,57924.2881,48792.3155,35014.4066,419371.8458,353256.3642
2246,2246,600323.SH,20130419,6.4055,6.5222,6.3695,6.5133,6.3965,0.11680000000000046,1.826,59180.19,42537.125,1.2129,1.6902,1.09,22.0728,22.0728,1.8527,4.7438,4.7438,0.6197,,57924.2881,48792.3155,35014.4066,419951.0887,353744.2874
2247,2247,600323.SH,20130418,6.1629,6.4504,6.127,6.3965,6.2438,0.1526999999999994,2.4456,69226.11,48772.395,1.4188,1.9771,1.38,21.677,21.677,1.8195,4.6587,4.6587,0.631,,57924.2881,48792.3155,35014.4066,412420.9313,347401.2864
2248,2248,600323.SH,20130417,6.3156,6.3516,6.0192,6.2438,6.3246,-0.08079999999999998,-1.2776,47422.97,32854.187,0.9719,1.3544,0.97,21.1595,21.1595,1.7761,4.5475,4.5475,0.6464,,57924.2881,48792.3155,35014.4066,402573.8023,339106.5927
2249,2249,600323.SH,20130416,6.1359,6.3426,6.109,6.3246,6.2078,0.11680000000000046,1.8815,38896.02,26972.799,0.7972,1.1109,0.77,21.4335,21.4335,1.7991,4.6064,4.6064,0.6381,,57924.2881,48792.3155,35014.4066,407786.9882,343497.9011
2250,2250,600323.SH,20130415,6.4594,6.4594,6.1539,6.2078,6.4773,-0.26949999999999985,-4.1607,71402.31,50021.357,1.4634,2.0392,1.55,21.0377,21.0377,1.7659,4.5213,4.5213,0.6501,,57924.2881,48792.3155,35014.4066,400256.8308,337154.9001
