,date,open,high,low,close,volume,tic,day,change
3350,1983-04-05,5.34375,5.390625,5.265625,2.1225194931030273,1179200.0,CAT,1,-0.01169536499419066
3351,1983-04-06,5.25,5.25,5.078125,2.059722900390625,2959200.0,CAT,2,-0.02958587325885831
3352,1983-04-07,5.03125,5.03125,4.9375,2.0032057762145996,4329600.0,CAT,3,-0.027439188138029147
3353,1983-04-08,4.984375,4.984375,4.9375,1.996927261352539,2314400.0,CAT,4,-0.003134233605258885
3354,1983-04-11,5.0,5.109375,5.0,2.0283241271972656,2144000.0,CAT,0,0.015722588625216805
3355,1983-04-12,5.046875,5.0625,4.9375,1.996927261352539,1708800.0,CAT,1,-0.015479215290955861
3356,1983-04-13,4.984375,5.09375,4.984375,2.0346035957336426,2310400.0,CAT,2,0.018867154107348405
3357,1983-04-14,5.09375,5.359375,5.09375,2.147636890411377,2983200.0,CAT,3,0.055555438373722454
3358,1983-04-15,5.34375,5.5625,5.3125,2.191593885421753,1736800.0,CAT,4,0.020467610333307462
3359,1983-04-18,5.453125,5.5625,5.3125,2.210432767868042,2020000.0,CAT,0,0.008595973264756473
3360,1983-04-19,5.5,5.625,5.46875,2.2357680797576904,3612000.0,CAT,1,0.011461697572500373
3361,1983-04-20,5.53125,5.6875,5.53125,2.2927703857421875,3205600.0,CAT,2,0.025495625642296016
3362,1983-04-21,5.703125,5.875,5.703125,2.3307723999023438,4831200.0,CAT,3,0.016574714326596185
3363,1983-04-22,5.75,5.828125,5.671875,2.3307723999023438,3676800.0,CAT,4,0.0
3364,1983-04-25,5.75,5.78125,5.671875,2.311771869659424,2050400.0,CAT,0,-0.008152031594211406
3365,1983-04-26,5.703125,5.703125,5.515625,2.2737693786621094,1635200.0,CAT,1,-0.0164386856229517
3366,1983-04-27,5.609375,5.640625,5.578125,2.2737693786621094,1300800.0,CAT,2,0.0
3367,1983-04-28,5.609375,5.71875,5.578125,2.3054370880126953,1391200.0,CAT,3,0.01392740602796727
3368,1983-04-29,5.6875,5.859375,5.6875,2.356107234954834,961600.0,CAT,4,0.02197854246624309
3369,1983-05-02,5.8125,5.890625,5.75,2.3371055126190186,1708000.0,CAT,0,-0.008064880092853555
3370,1983-05-03,5.765625,5.78125,5.703125,2.3244378566741943,2213600.0,CAT,1,-0.005420232794979163
3371,1983-05-04,5.734375,5.796875,5.734375,2.3371055126190186,1536800.0,CAT,2,0.005449771826960825
3372,1983-05-05,5.78125,5.859375,5.78125,2.375108242034912,1433600.0,CAT,3,0.01626059637046806
3373,1983-05-06,5.859375,6.1875,5.859375,2.4827797412872314,2148800.0,CAT,4,0.04533330201408847
3374,1983-05-09,6.125,6.171875,6.0,2.470111846923828,1149600.0,CAT,0,-0.005102302935996894
3375,1983-05-10,6.09375,6.140625,6.0625,2.476447105407715,1636000.0,CAT,1,0.0025647658391567685
3376,1983-05-11,6.109375,6.125,6.0,2.4384427070617676,1456000.0,CAT,2,-0.015346339626216343
3377,1983-05-12,6.015625,6.015625,5.875,2.3941080570220947,1115200.0,CAT,3,-0.018181542634271852
3378,1983-05-13,5.890625,5.890625,5.875,2.387777090072632,3965600.0,CAT,4,-0.0026443948220690183
3379,1983-05-16,5.875,5.875,5.78125,2.3434391021728516,5484800.0,CAT,0,-0.018568729922118332
3380,1983-05-17,5.78125,5.8125,5.75,2.356107234954834,1715200.0,CAT,1,0.005405787063225365
3381,1983-05-18,5.8125,5.859375,5.75,2.3371055126190186,2132000.0,CAT,2,-0.008064880092853555
3382,1983-05-19,5.765625,5.828125,5.6875,2.311771869659424,1702400.0,CAT,3,-0.010839751488671667
3383,1983-05-20,5.6875,5.6875,5.578125,2.2927703857421875,1819200.0,CAT,4,-0.008219445943874915
3384,1983-05-23,5.65625,5.671875,5.5625,2.2611031532287598,3458400.0,CAT,0,-0.013811776665624054
3385,1983-05-24,5.578125,5.734375,5.5625,2.3244378566741943,3871200.0,CAT,1,0.028010532538064625
3386,1983-05-25,5.734375,5.828125,5.71875,2.3497724533081055,2380000.0,CAT,2,0.010899235942646301
3387,1983-05-26,5.8125,5.953125,5.8125,2.400442600250244,3021600.0,CAT,3,0.021563852649137738
3388,1983-05-27,5.921875,6.0,5.921875,2.4067764282226562,1528000.0,CAT,4,0.0026386083848668473
3389,1983-05-31,5.9375,5.984375,5.8125,2.368774890899658,1420800.0,CAT,1,-0.015789392349608966
3390,1983-06-01,5.84375,5.90625,5.8125,2.387777090072632,1056000.0,CAT,2,0.008021952295246049
3391,1983-06-02,5.890625,5.90625,5.828125,2.3814404010772705,1036000.0,CAT,3,-0.002653802577177955
3392,1983-06-03,5.875,5.890625,5.84375,2.3814404010772705,1088000.0,CAT,4,0.0
3393,1983-06-06,5.875,5.875,5.78125,2.368774890899658,760800.0,CAT,0,-0.005318424165426494
3394,1983-06-07,5.84375,5.90625,5.78125,2.3497724533081055,1476000.0,CAT,1,-0.008022052945831248
3395,1983-06-08,5.796875,5.796875,5.71875,2.318105936050415,1120000.0,CAT,2,-0.013476418626454212
3396,1983-06-09,5.71875,5.796875,5.6875,2.3371055126190186,489600.0,CAT,3,0.008196164063569489
3397,1983-06-10,5.765625,5.8125,5.671875,2.311771869659424,1664800.0,CAT,4,-0.010839751488671667
3398,1983-06-13,5.703125,5.828125,5.6875,2.3434391021728516,3388000.0,CAT,0,0.013698251513932114
3399,1983-06-14,5.78125,5.890625,5.765625,2.3434391021728516,2406400.0,CAT,1,0.0
3400,1983-06-15,5.78125,5.953125,5.75,2.41310977935791,3198400.0,CAT,2,0.029730099288886702
3401,1983-06-16,6.03125,6.125,6.03125,2.4574437141418457,2640000.0,CAT,3,0.01837211682749551
3402,1983-06-17,6.0625,6.078125,5.9375,2.419442653656006,1701600.0,CAT,4,-0.015463654474426103
3403,1983-06-20,5.96875,6.0,5.9375,2.4067764282226562,748000.0,CAT,0,-0.005235183158488921
3404,1983-06-21,5.9375,5.9375,5.84375,2.387777090072632,1119200.0,CAT,1,-0.00789410180656247
3405,1983-06-22,5.890625,5.921875,5.8125,2.356107234954834,2806400.0,CAT,2,-0.013263321458886534
3406,1983-06-23,5.8125,5.859375,5.796875,2.368774890899658,1178400.0,CAT,3,0.0053765192674122275
3407,1983-06-24,5.84375,5.890625,5.828125,2.3814404010772705,1481600.0,CAT,4,0.005346861040392836
3408,1983-06-27,5.875,5.875,5.78125,2.368774890899658,1107200.0,CAT,0,-0.005318424165426494
3409,1983-06-28,5.84375,5.890625,5.765625,2.3434391021728516,1279200.0,CAT,1,-0.010695735092490888
3410,1983-06-29,5.78125,5.828125,5.765625,2.3497724533081055,852000.0,CAT,2,0.002702588315344645
3411,1983-06-30,5.796875,5.90625,5.765625,2.3941080570220947,1284000.0,CAT,3,0.018868041308243155
3412,1983-07-01,5.875,5.875,5.78125,2.375108242034912,1001600.0,CAT,4,-0.007936072447296105
3413,1983-07-05,5.828125,5.828125,5.734375,2.3434391021728516,2399200.0,CAT,1,-0.013333766984416462
3414,1983-07-06,5.78125,5.796875,5.71875,2.3371055126190186,2016800.0,CAT,2,-0.0027026900541006205
3415,1983-07-07,5.765625,5.78125,5.703125,2.3307723999023438,778400.0,CAT,3,-0.0027098103540810214
3416,1983-07-08,5.75,5.78125,5.71875,2.3307723999023438,437600.0,CAT,4,0.0
3417,1983-07-11,5.703125,5.703125,5.609375,2.2864367961883545,1744800.0,CAT,0,-0.019021850317022304
3418,1983-07-12,5.640625,5.6875,5.546875,2.2547690868377686,2317600.0,CAT,1,-0.013850244801596134
3419,1983-07-13,5.5625,5.640625,5.5625,2.2737693786621094,814400.0,CAT,2,0.008426712932714464
3420,1983-07-14,5.609375,5.703125,5.59375,2.305704355239868,1033600.0,CAT,3,0.014044949711016663
3421,1983-07-15,5.640625,5.65625,5.53125,2.267382860183716,1078400.0,CAT,4,-0.0166202986818601
3422,1983-07-18,5.53125,5.53125,5.40625,2.2290608882904053,1302400.0,CAT,0,-0.016901412005119187
3423,1983-07-19,5.484375,5.578125,5.484375,2.267382860183716,1205600.0,CAT,1,0.017191980755044245
3424,1983-07-20,5.546875,5.625,5.5,2.273770332336426,3195200.0,CAT,2,0.0028171123037388224
3425,1983-07-21,5.5625,5.59375,5.453125,2.260996103286743,2560000.0,CAT,3,-0.00561808238414141
3426,1983-07-22,5.53125,5.625,5.453125,2.2929306030273438,1604800.0,CAT,4,0.014124084377756585
3427,1983-07-25,5.609375,5.609375,5.515625,2.2865443229675293,743200.0,CAT,0,-0.002785204249698081
3428,1983-07-26,5.59375,5.59375,5.53125,2.2801568508148193,1160800.0,CAT,1,-0.0027935046299124577
3429,1983-07-27,5.578125,5.625,5.46875,2.241834878921509,1048800.0,CAT,2,-0.016806726203776767
3430,1983-07-28,5.484375,5.53125,5.453125,2.254608392715454,802400.0,CAT,3,0.005697794210468565
3431,1983-07-29,5.515625,5.5625,5.46875,2.2482216358184814,550400.0,CAT,4,-0.002832756640846368
3432,1983-08-01,5.5,5.515625,5.46875,2.235447645187378,668800.0,CAT,0,-0.005681819989448278
3433,1983-08-02,5.46875,5.59375,5.421875,2.260996103286743,976800.0,CAT,1,0.011428788392502831
3434,1983-08-03,5.53125,5.546875,5.40625,2.254608392715454,2652000.0,CAT,2,-0.002825175400348323
3435,1983-08-04,5.515625,5.53125,5.265625,2.165191650390625,3344000.0,CAT,3,-0.03965954469686661
3436,1983-08-05,5.296875,5.3125,5.1875,2.1268692016601562,5078400.0,CAT,4,-0.017699333323936917
3437,1983-08-08,5.109375,5.109375,5.015625,2.075772762298584,2020800.0,CAT,0,-0.024024250913825984
3438,1983-08-09,5.078125,5.203125,5.046875,2.1268692016601562,969600.0,CAT,1,0.024615622812677707
3439,1983-08-10,5.203125,5.203125,5.125,2.1268692016601562,1247200.0,CAT,2,0.0
3440,1983-08-11,5.203125,5.203125,4.90625,2.0374512672424316,4849600.0,CAT,3,-0.04204204675488654
