Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
ELME,Elme Communities Common Stock,$17.58,-0.52,-2.873%,1538557281.00,United States,2000,368592,Real Estate,Real Estate Investment Trusts
ELS,Equity Lifestyle Properties Inc. Common Stock,$64.33,-0.72,-1.107%,11972520952.00,United States,,562607,Real Estate,Real Estate Investment Trusts
EPR,EPR Properties Common Stock,$37.39,-0.88,-2.299%,2805037097.00,United States,1997,754232,Real Estate,Real Estate Investment Trusts
EPRT,Essential Properties Realty Trust Inc. Common Stock,$23.05,-0.34,-1.454%,3281794806.00,United States,2018,751781,Real Estate,Real Estate Investment Trusts
EQC,Equity Commonwealth Common Shares of Beneficial Interest,$24.97,-0.35,-1.382%,2732423452.00,United States,,624901,Real Estate,Real Estate Investment Trusts
EQIX,Equinix Inc. Common Stock REIT,$652.54,-2.04,-0.312%,60384821562.00,United States,2000,303436,Real Estate,Real Estate Investment Trusts
EQR,Equity Residential Common Shares of Beneficial Interest,$58.78,-0.69,-1.16%,22214074118.00,United States,,2040352,Real Estate,Real Estate Investment Trusts
ESRT,Empire State Realty Trust Inc. Class A Common Stock,$6.54,-0.25,-3.682%,1055693268.00,United States,2013,1075917,Real Estate,Real Estate Investment Trusts
ESS,Essex Property Trust Inc. Common Stock,$209.23,-1.71,-0.811%,13548440085.00,United States,1994,508587,Real Estate,Real Estate Investment Trusts
EXR,Extra Space Storage Inc Common Stock,$145.33,-2.21,-1.498%,19462815664.00,United States,2004,557058,Real Estate,Real Estate Investment Trusts
FBRT,Franklin BSP Realty Trust Inc. Common Stock,$13.22,-0.46,-3.363%,1090382202.00,,2021,218738,Real Estate,Real Estate Investment Trusts
FCPT,Four Corners Property Trust Inc. Common Stock,$25.99,-0.49,-1.85%,2180230745.00,United States,2015,295886,Real Estate,Real Estate Investment Trusts
FEDU,Four Seasons Education (Cayman) Inc. American Depositary Shares each ADS representing 10 ordinary shares,$6.23,0.00,0.00%,13231772.00,,2017,120,Real Estate,Other Consumer Services
FPH,Five Point Holdings LLC Class A Common Shares,$1.98,-0.03,-1.493%,136802406.00,United States,2017,457344,Real Estate,Real Estate
FPI,Farmland Partners Inc. Common Stock,$12.35,-0.21,-1.672%,674113536.00,,2014,223193,Real Estate,Real Estate Investment Trusts
FR,First Industrial Realty Trust Inc. Common Stock,$47.66,-0.88,-1.813%,6297559009.00,United States,1994,479727,Real Estate,Real Estate Investment Trusts
FRT,Federal Realty Investment Trust Common Stock,$100.67,-1.85,-1.805%,8175358251.00,United States,,346951,Real Estate,Real Estate Investment Trusts
FSP,Franklin Street Properties Corp. Common Stock,$2.68,-0.06,-2.19%,276672250.00,United States,,550496,Real Estate,Real Estate Investment Trusts
GBR,New Concept Energy Inc Common Stock,$1.1441,-0.0059,-0.513%,5871446.00,United States,1993,17875,Real Estate,Real Estate
GGE,Green Giant Inc. Common Stock,$2.54,0.14,5.833%,126373301.00,China,,24320,Real Estate,Building operators
GIPR,Generation Income Properties Inc. Common Stock,$4.77,-0.02,-0.418%,11908257.00,United States,,15191,Real Estate,Real Estate Investment Trusts
GIPRW,Generation Income Properties Inc Warrant,$0.43,0.00,0.00%,0.00,United States,,52824,Real Estate,Real Estate Investment Trusts
GLPI,Gaming and Leisure Properties Inc. Common Stock,$51.73,-0.51,-0.976%,13321350530.00,United States,,594961,Real Estate,Real Estate Investment Trusts
GMRE,Global Medical REIT Inc. Common Stock,$9.26,-0.22,-2.321%,606699514.00,,2016,358500,Real Estate,Real Estate Investment Trusts
GNL,Global Net Lease Inc. Common Stock,$12.59,-0.24,-1.871%,1306783633.00,United States,2015,633162,Real Estate,Real Estate Investment Trusts
GNS,Genius Group Limited Ordinary Shares,$0.3299,0.0049,1.508%,8145450.00,,2022,73642,Real Estate,Other Consumer Services
GOOD,Gladstone Commercial Corporation Real Estate Investment Trust,$18.39,-0.30,-1.605%,728372896.00,United States,2003,116018,Real Estate,Real Estate Investment Trusts
GOODN,Gladstone Commercial Corporation 6.625% Series E Cumulative Redeemable Preferred Stock,$21.61,-0.17,-0.781%,0.00,United States,,454,Real Estate,Real Estate Investment Trusts
GOODO,Gladstone Commercial Corporation 6.00% Series G Cumulative Redeemable Preferred Stock par value $0.001 per share,$19.42,-0.21,-1.07%,0.00,United States,,4326,Real Estate,Real Estate Investment Trusts
GOTU,Gaotu Techedu Inc. American Depositary Shares,$2.83,-0.47,-14.242%,733025324.00,,2019,10492438,Real Estate,Other Consumer Services
GPMT,Granite Point Mortgage Trust Inc. Common Stock,$5.32,-0.34,-6.007%,278507261.00,,2017,918180,Real Estate,Real Estate Investment Trusts
GSUN,Golden Sun Education Group Limited Class A Ordinary Shares,$1.02,0.00,0.00%,18722601.00,China,2022,375323,Real Estate,Other Consumer Services
GTY,Getty Realty Corporation Common Stock,$33.75,-1.81,-5.09%,1577275200.00,United States,,345338,Real Estate,Real Estate Investment Trusts
GYRO,Gyrodyne LLC Common Stock,$8.30,-0.03,-0.36%,12306244.00,United States,,2297,Real Estate,Building operators
HASI,Hannon Armstrong Sustainable Infrastructure Capital Inc. Common Stock,$28.46,-1.08,-3.656%,2532329078.00,United States,2013,491049,Real Estate,Real Estate Investment Trusts
HCDI,Harbor Custom Development Inc. Common Stock,$0.385,-0.0251,-6.12%,5534903.00,United States,2020,90458,Real Estate,Building operators
HCDIP,Harbor Custom Development Inc. 8.0% Series A Cumulative Convertible Preferred Stock no par value,$6.49,0.09,1.406%,0.00,United States,,10254,Real Estate,Building operators
HCDIW,Harbor Custom Development Inc. Warrant,$0.041,-0.0105,-20.388%,0.00,United States,,8906,Real Estate,Building operators
HCDIZ,Harbor Custom Development Inc. Warrant,$0.0425,-0.0169,-28.451%,0.00,United States,,38874,Real Estate,Building operators
